Registrikood;Nimi;Tööjõumaksud Ja Maksed;Tootajaid;YearQ
10569681;PRISMA PEREMARKET AS;1015242;766;18iii
10399457;HOOLEKANDETEENUSED AS;1014746;892;18iii
10535771;TERVE PERE APTEEK OÜ;1014224;545;18ii
10261303;VALIO EESTI AS;1013816;474;18iv
10535771;TERVE PERE APTEEK OÜ;1012515;548;18i
10031220;ISS EESTI AS;1012496;1520;18iv
77000312;RAPLA VALLAVALITSUS;1011934;130;18iii
10137319;TALLINNA SADAM AS;1008471;333;18iii
10069046;TELE2 EESTI AS;1007896;315;18iv
10277820;EESTI KESKKONNATEENUSED AS;1004268;513;18ii
10239452;AKTSIASELTS FUJITSU ESTONIA;1004178;355;18i
10137025;TIETO ESTONIA AS;1003474;310;18iv
10137025;TIETO ESTONIA AS;1003197;310;18ii
77000507;VALGA VALLAVALITSUS;1002787;226;18iv
10294959;NPM SILMET OÜ;1000719;432;18ii
10259242;ENSTO ENSEK AS;998582;421;18iii
10136870;OLEREX AS;998253;670;18i
10636638;BAUHOF GROUP AS;996043;465;18ii
75014132;HARKU VALLAVALITSUS;992675;92;18iv
11022625;ELERING AS;992228;232;18iii
10277820;EESTI KESKKONNATEENUSED AS;991256;566;18iv
10031220;ISS EESTI AS;988462;1479;18ii
75014132;HARKU VALLAVALITSUS;987341;86;18iii
90006006;ETTEVÕTLUSE ARENDAMISE SIHTASUTUS;984671;326;18i
10099962;NORDECON AS;984620;268;18i
77000507;VALGA VALLAVALITSUS;983968;235;18ii
10031220;ISS EESTI AS;981684;1512;18i
10399457;HOOLEKANDETEENUSED AS;978486;869;18i
90006006;ETTEVÕTLUSE ARENDAMISE SIHTASUTUS;978470;310;18iv
10165452;AKTSIASELTS STOKKER;975236;293;18iv
90007141;TARTU KIIRABI SIHTASUTUS;974567;456;18ii
77000200;LÄÄNE-HARJU VALLAVALITSUS;973200;117;18iii
75001017;KOHTLA-JÄRVE LINNAVALITSUS;968434;93;18iii
10089165;HORIZON TSELLULOOSI JA PABERI AS;963612;371;18iii
10237594;DBT AS;963414;252;18ii
10097762;JÄRVA TARBIJATE ÜHISTU;960304;832;18iii
75001017;KOHTLA-JÄRVE LINNAVALITSUS;959571;95;18ii
10100168;IF P&C INSURANCE AS;956515;265;18i
11022625;ELERING AS;956408;236;18iv
10034247;AKTSIASELTS A. LE COQ;955348;330;18iii
10100168;IF P&C INSURANCE AS;955157;251;18iv
75001017;KOHTLA-JÄRVE LINNAVALITSUS;953179;94;18iv
10034247;AKTSIASELTS A. LE COQ;952906;322;18i
77000170;ELVA VALLAVALITSUS;952630;170;18iii
10259242;ENSTO ENSEK AS;951443;463;18ii
10137025;TIETO ESTONIA AS;950888;312;18iii
75014132;HARKU VALLAVALITSUS;950553;95;18i
77000170;ELVA VALLAVALITSUS;950311;168;18ii
10030278;SAKU ÕLLETEHASE AS;949782;304;18ii
12249762;EESTI TEED AS;949683;242;18ii
10636319;GUNVOR SERVICES AS;949177;206;18iii
10089165;HORIZON TSELLULOOSI JA PABERI AS;948128;350;18i
10636638;BAUHOF GROUP AS;947542;430;18iv
12305124;KAUBAMAJA AS;946350;720;18i
10676974;GE POWER ESTONIA AS;945910;336;18iii
75025064;RAKVERE LINNAVALITSUS;945384;79;18ii
10636319;GUNVOR SERVICES AS;943881;210;18iv
90007141;TARTU KIIRABI SIHTASUTUS;942536;436;18i
10636638;BAUHOF GROUP AS;936661;443;18i
10183757;BIGBANK AS;935063;236;18i
77000312;RAPLA VALLAVALITSUS;934838;197;18ii
10156772;KUNDA NORDIC TSEMENT AS;934318;195;18ii
10259242;ENSTO ENSEK AS;933388;372;18iv
10586863;AS EKSPRESS MEEDIA;929750;371;18ii
10259242;ENSTO ENSEK AS;928889;443;18i
77000430;SAUE VALLAVALITSUS;927326;161;18i
10114029;YIT INFRA EESTI AS;925412;295;18i
77000312;RAPLA VALLAVALITSUS;925144;122;18iv
10114029;YIT INFRA EESTI AS;923254;342;18ii
10569681;PRISMA PEREMARKET AS;919913;879;18ii
10569681;PRISMA PEREMARKET AS;917665;759;18i
70006056;TARTU VANGLA;917633;420;18ii
11298304;APL AGENCIES ESTONIA OÜ;916122;560;18ii
10137025;TIETO ESTONIA AS;913969;290;18i
10586863;AS EKSPRESS MEEDIA;909212;298;18i
77000170;ELVA VALLAVALITSUS;903835;176;18iv
10508596;STONERIDGE ELECTRONICS AS;903823;310;18iii
10301984;PALMAKO AS;902161;437;18iii
75014132;HARKU VALLAVALITSUS;900196;86;18ii
10100168;IF P&C INSURANCE AS;899994;255;18iii
10179589;SCANFIL OÜ;899851;577;18iii
10137319;TALLINNA SADAM AS;899650;330;18iv
10257326;TALLINNA VESI AS;898006;268;18ii
70006056;TARTU VANGLA;896032;416;18iii
10364097;HELMES AS;893827;164;18iv
70006056;TARTU VANGLA;892931;418;18iv
10347236;HARJU TARBIJATE ÜHISTU;892830;661;18iii
12305124;KAUBAMAJA AS;891951;738;18ii
12453072;KKT OIL OÜ;891461;580;18iii
11211390;ARVATO SERVICES ESTONIA OÜ;890119;312;18iii
10165452;AKTSIASELTS STOKKER;889949;307;18ii
10137319;TALLINNA SADAM AS;887423;330;18i
12453072;KKT OIL OÜ;885154;571;18i
75038581;PÕLVA VALLAVALITSUS;884637;96;18iii
10097762;JÄRVA TARBIJATE ÜHISTU;880829;825;18i
10097762;JÄRVA TARBIJATE ÜHISTU;880689;844;18iv
12453072;KKT OIL OÜ;878738;575;18ii
10636319;GUNVOR SERVICES AS;878666;204;18i
11016903;EURO WORK OÜ;877918;286;18iv
10364097;HELMES AS;877712;164;18iii
10030278;SAKU ÕLLETEHASE AS;874301;285;18iii
10569681;PRISMA PEREMARKET AS;871739;814;18iv
77000200;LÄÄNE-HARJU VALLAVALITSUS;870263;115;18ii
70004809;RIIGIKANTSELEI;867784;214;18i
10237832;COOP PANK AKTSIASELTS;865877;190;18ii
11267031;ORKLA EESTI AS;863936;395;18i
10165452;AKTSIASELTS STOKKER;861661;292;18i
75019371;TALLINNA KIIRABI;860754;497;18iv
12453072;KKT OIL OÜ;858273;580;18iv
10098158;E-BETOONELEMENT AS;857944;293;18ii
10396849;WÜRTH AS;857797;181;18iii
11016903;EURO WORK OÜ;857695;274;18i
10449400;LTH-BAAS AS;856563;402;18ii
10715645;VOPAK E.O.S. AS;855069;221;18iii
10179589;SCANFIL OÜ;854420;624;18ii
10282494;TECHNOMAR & ADREM AS;852728;620;18iii
12417834;TAXIFY OÜ;852061;242;18iii
75025064;RAKVERE LINNAVALITSUS;850156;80;18iv
10097762;JÄRVA TARBIJATE ÜHISTU;850009;852;18ii
14282597;AS PENSIONIKESKUS;847309;9;18iv
70006056;TARTU VANGLA;846956;428;18i
10098158;E-BETOONELEMENT AS;845103;296;18iv
10508596;STONERIDGE ELECTRONICS AS;842812;314;18iv
10856624;RAKVERE HAIGLA AS;841898;445;18iii
10930852;AQ LASERTOOL OÜ;840612;429;18iv
10098158;E-BETOONELEMENT AS;840420;314;18i
12305124;KAUBAMAJA AS;839162;724;18iii
12608043;NORDEA BANK ABP EESTI FILIAAL;834770;367;18iv
75019371;TALLINNA KIIRABI;834671;477;18iii
70001231;KESKKONNAMINISTEERIUM;833971;197;18i
11022625;ELERING AS;832920;221;18i
10301984;PALMAKO AS;830093;414;18iv
75038581;PÕLVA VALLAVALITSUS;827784;97;18ii
12831829;AB “LIETUVOS DRAUDIMAS“ EESTI FILIAAL;827297;156;18ii
12920728;NORDIC CREW MANAGEMENT OÜ;825392;157;18iii
10396849;WÜRTH AS;824015;184;18iv
77000200;LÄÄNE-HARJU VALLAVALITSUS;823875;117;18iv
11073723;VIDEOB OÜ;823197;84;18i
10179589;SCANFIL OÜ;822850;606;18i
10676974;GE POWER ESTONIA AS;822388;339;18ii
10179589;SCANFIL OÜ;822273;568;18iv
10364097;HELMES AS;822018;168;18ii
10930852;AQ LASERTOOL OÜ;821122;388;18i
10833853;LÕUNA-EESTI HAIGLA AS;820598;440;18iii
10034247;AKTSIASELTS A. LE COQ;820358;323;18iv
10098158;E-BETOONELEMENT AS;819827;292;18iii
75014422;KEILA LINNAVALITSUS;819481;96;18iii
75038581;PÕLVA VALLAVALITSUS;818906;95;18iv
10092440;EOLANE TALLINN AS;818219;361;18ii
75019738;SAKU VALLAVALITSUS;817418;156;18iv
11298304;APL AGENCIES ESTONIA OÜ;816436;461;18i
10017013;ERGO INSURANCE SE;815092;276;18i
10006966;AS CGI EESTI;814115;204;18ii
75019738;SAKU VALLAVALITSUS;814019;146;18i
10347236;HARJU TARBIJATE ÜHISTU;812700;667;18iv
10060658;MISTRA-AUTEX AS;812624;283;18iii
10017013;ERGO INSURANCE SE;811539;266;18iii
90004059;KURESSAARE HAIGLA SIHTASUTUS;811206;428;18iii
10026621;AS KESKO SENUKAI ESTONIA;811045;481;18iii
75014422;KEILA LINNAVALITSUS;810488;90;18i
10138917;KAARLI HAMBAPOLIKLIINIK OÜ;810126;172;18iii
10301984;PALMAKO AS;809039;391;18ii
10342368;DSV TRANSPORT AS;806195;174;18i
10722319;AS CONNECTO EESTI;806126;286;18i
10089165;HORIZON TSELLULOOSI JA PABERI AS;805852;362;18ii
11445550;EMPOWER AS;804495;277;18iii
10788733;RIIGI KINNISVARA AS;803791;251;18iii
10199349;RAMIRENT BALTIC AS;803362;196;18i
75003909;SILLAMÄE LINNAVALITSUS;803108;93;18iii
10282494;TECHNOMAR & ADREM AS;802447;628;18ii
10030278;SAKU ÕLLETEHASE AS;802349;282;18iv
10449400;LTH-BAAS AS;802339;371;18i
10069659;ELISA TELETEENUSED AS;801560;220;18i
75038606;VILJANDI VALLAVALITSUS;798242;158;18iv
10017013;ERGO INSURANCE SE;796826;263;18iv
10089165;HORIZON TSELLULOOSI JA PABERI AS;794123;372;18iv
10952552;TLG HOTELL OÜ;792827;480;18iii
10006966;AS CGI EESTI;792705;201;18i
10364097;HELMES AS;792182;165;18i
11206785;TALLINN AIRPORT GH AS;792073;270;18i
75038606;VILJANDI VALLAVALITSUS;791125;159;18iii
10282494;TECHNOMAR & ADREM AS;791102;605;18iv
11445550;EMPOWER AS;790557;281;18iv
75003909;SILLAMÄE LINNAVALITSUS;788625;93;18i
10520953;AS EESTI LIINIRONGID;786525;327;18iii
10665798;LEONHARD WEISS ENERGY AS;786123;285;18iii
11211390;ARVATO SERVICES ESTONIA OÜ;786002;336;18ii
10930852;AQ LASERTOOL OÜ;785010;372;18ii
10930852;AQ LASERTOOL OÜ;784013;365;18iii
10006966;AS CGI EESTI;783774;192;18iii
10715645;VOPAK E.O.S. AS;781762;227;18iv
10676974;GE POWER ESTONIA AS;779398;346;18i
75038606;VILJANDI VALLAVALITSUS;779035;149;18ii
90007365;PJV HOOLDUSRAVI SIHTASUTUS;778353;204;18iii
10856624;RAKVERE HAIGLA AS;778218;459;18ii
10000573;METAPRINT AS;775739;218;18iii
10282494;TECHNOMAR & ADREM AS;773348;628;18i
75033477;TAPA VALLAVALITSUS;770204;133;18iii
12305124;KAUBAMAJA AS;770108;732;18iv
75033460;TÜRI VALLAVALITSUS;769227;84;18iv
12919435;SWEDBANK AB EESTI FILIAAL;768927;139;18iv
10856624;RAKVERE HAIGLA AS;768849;447;18iv
75003909;SILLAMÄE LINNAVALITSUS;767516;92;18ii
75019738;SAKU VALLAVALITSUS;767396;151;18ii
10952552;TLG HOTELL OÜ;767249;413;18iv
10788733;RIIGI KINNISVARA AS;766099;250;18i
75019371;TALLINNA KIIRABI;765927;468;18ii
10019012;HANZA MECHANICS TARTU AS;765921;408;18iii
75038581;PÕLVA VALLAVALITSUS;765761;106;18i
10096567;SYMANTEC ESTONIA OÜ;765490;96;18iii
10284932;SILBERAUTO EESTI AS;765375;273;18iii
10034247;AKTSIASELTS A. LE COQ;765170;356;18ii
77000358;PÕLTSAMAA VALLAVALITSUS;763518;124;18iv
75019371;TALLINNA KIIRABI;763178;465;18i
10019012;HANZA MECHANICS TARTU AS;761302;418;18i
10294959;NPM SILMET OÜ;761089;434;18iii
10030278;SAKU ÕLLETEHASE AS;760681;290;18i
10508596;STONERIDGE ELECTRONICS AS;760021;310;18ii
11016903;EURO WORK OÜ;759834;308;18ii
75038606;VILJANDI VALLAVALITSUS;759035;169;18i
75014422;KEILA LINNAVALITSUS;758268;94;18ii
10237594;DBT AS;757784;258;18i
75033477;TAPA VALLAVALITSUS;756131;138;18iv
10347236;HARJU TARBIJATE ÜHISTU;755151;699;18ii
10676974;GE POWER ESTONIA AS;753766;23;18iv
10294959;NPM SILMET OÜ;753344;443;18i
75014422;KEILA LINNAVALITSUS;753060;94;18iv
10396849;WÜRTH AS;752486;183;18ii
10026621;AS KESKO SENUKAI ESTONIA;752382;475;18iv
10520953;AS EESTI LIINIRONGID;752212;333;18iv
12608043;NORDEA BANK AB EESTI FILIAAL;750823;293;18iii
75033477;TAPA VALLAVALITSUS;750546;141;18ii
75019738;SAKU VALLAVALITSUS;750204;160;18iii
10520953;AS EESTI LIINIRONGID;748975;335;18i
12919435;SWEDBANK AB EESTI FILIAAL;748944;140;18iii
10238872;SCANIA EESTI AS;746775;164;18ii
12249762;EESTI TEED AS;746103;237;18iii
10331577;PROEKSPERT AS;745906;164;18iii
10342368;DSV TRANSPORT AS;745585;179;18iv
70001231;KESKKONNAMINISTEERIUM;744883;206;18iv
12920728;NORDIC CREW MANAGEMENT OÜ;744000;160;18iv
77000275;KAMBJA VALLAVALITSUS;743391;76;18iv
10396849;WÜRTH AS;742447;180;18i
10284932;SILBERAUTO EESTI AS;741569;274;18i
11445550;EMPOWER AS;740984;273;18i
70008658;KESKKONNAAMET;739543;350;18iv
10026621;AS KESKO SENUKAI ESTONIA;738642;497;18ii
70003098;MAA-AMET;738463;279;18iv
10238872;SCANIA EESTI AS;737122;154;18iii
77000358;PÕLTSAMAA VALLAVALITSUS;736321;132;18iii
10342368;DSV TRANSPORT AS;735285;180;18iii
10145981;ÄRIPÄEV AS;734450;259;18ii
12919435;SWEDBANK AB EESTI FILIAAL;734298;141;18ii
75033460;TÜRI VALLAVALITSUS;732422;80;18iii
10026621;AS KESKO SENUKAI ESTONIA;731786;477;18i
10140133;CYBERNETICA AS;731388;132;18i
10833853;LÕUNA-EESTI HAIGLA AS;730615;448;18iv
10788733;RIIGI KINNISVARA AS;729553;269;18iv
10019012;HANZA MECHANICS TARTU AS;729400;406;18iv
10520953;AS EESTI LIINIRONGID;728314;338;18ii
11119230;HARJU ELEKTER ELEKTROTEHNIKA AS;728251;271;18ii
11445550;EMPOWER AS;726970;278;18ii
75033460;TÜRI VALLAVALITSUS;726071;79;18ii
10709596;BENU APTEEK EESTI OÜ;725699;337;18iii
10006966;AS CGI EESTI;723959;192;18iv
77000358;PÕLTSAMAA VALLAVALITSUS;723952;139;18ii
75033460;TÜRI VALLAVALITSUS;723845;82;18i
10833853;LÕUNA-EESTI HAIGLA AS;723174;435;18i
10145981;ÄRIPÄEV AS;722935;265;18iii
90004059;KURESSAARE HAIGLA SIHTASUTUS;721828;429;18iv
12919435;SWEDBANK AB EESTI FILIAAL;721659;138;18i
10657801;BALTIC WORKBOATS AS;721028;196;18iii
10508596;STONERIDGE ELECTRONICS AS;720893;279;18i
10019012;HANZA MECHANICS TARTU AS;720643;419;18ii
11011627;HANZA MECHANICS NARVA AS;720321;288;18iii
10331577;PROEKSPERT AS;719776;167;18iv
10306958;RAGN-SELLS AS;719665;282;18ii
10665798;LEONHARD WEISS ENERGY AS;719423;291;18ii
10237594;DBT AS;718890;248;18iii
70004502;KAITSEMINISTEERIUM;718377;4946;18iv
10069659;ELISA TELETEENUSED AS;717961;215;18iv
10665798;LEONHARD WEISS ENERGY AS;717426;289;18i
10301984;PALMAKO AS;716595;389;18i
10856624;RAKVERE HAIGLA AS;716437;449;18i
75003909;SILLAMÄE LINNAVALITSUS;715179;93;18iv
10331577;PROEKSPERT AS;714526;150;18i
12608043;NORDEA BANK AB EESTI FILIAAL;714435;280;18ii
10138917;KAARLI HAMBAPOLIKLIINIK OÜ;714330;168;18iv
75006486;TARTU VALLAVALITSUS;713328;144;18iii
11070736;OSAÜHING INCHCAPE MOTORS ESTONIA;712665;179;18iii
11358584;GENIUS SPORTS SERVICES EESTI OÜ;711985;313;18ii
10145981;ÄRIPÄEV AS;711021;270;18iv
10284932;SILBERAUTO EESTI AS;710520;277;18iv
10833853;LÕUNA-EESTI HAIGLA AS;709541;442;18ii
10722319;AS CONNECTO EESTI;709463;282;18iii
10709596;BENU APTEEK EESTI OÜ;709198;338;18ii
11206785;TALLINN AIRPORT GH AS;709169;288;18iii
10665798;LEONHARD WEISS ENERGY AS;707750;294;18iv
11769005;NEFAB PACKAGING OÜ;705805;239;18ii
12417834;TAXIFY OÜ;705558;208;18ii
10047497;KONESKO AS;704390;394;18iii
75006486;TARTU VALLAVALITSUS;704088;147;18iv
70008658;KESKKONNAAMET;703965;355;18i
11211390;ARVATO SERVICES ESTONIA OÜ;703891;271;18i
10092440;EOLANE TALLINN AS;702880;356;18iv
11070736;OSAÜHING INCHCAPE MOTORS ESTONIA;702503;185;18iv
10237832;COOP PANK AKTSIASELTS;702046;199;18iv
10306958;RAGN-SELLS AS;701682;273;18iii
10678223;AS ÕHTULEHT KIRJASTUS;701435;213;18iii
75005222;VILJANDI LINNAVALITSUS;700514;148;18iii
11119230;HARJU ELEKTER ELEKTROTEHNIKA AS;700449;248;18iii
10097532;SMARTEN LOGISTICS AS;699569;343;18iii
12771257;TWILIO ESTONIA OÜ;699079;95;18iv
10199349;RAMIRENT BALTIC AS;699050;217;18iii
10342368;DSV TRANSPORT AS;698963;177;18ii
10145981;ÄRIPÄEV AS;698639;277;18i
10138917;KAARLI HAMBAPOLIKLIINIK OÜ;698182;178;18ii
10237832;COOP PANK AKTSIASELTS;697215;191;18iii
10069659;ELISA TELETEENUSED AS;696791;217;18ii
10284932;SILBERAUTO EESTI AS;696332;270;18ii
10138917;KAARLI HAMBAPOLIKLIINIK OÜ;691824;175;18i
12249762;EESTI TEED AS;691528;237;18iv
10092440;EOLANE TALLINN AS;691081;377;18i
77000335;JÄRVA VALLAVALITSUS;690987;136;18iv
75005222;VILJANDI LINNAVALITSUS;690890;158;18i
10092440;EOLANE TALLINN AS;690346;381;18iii
10237594;DBT AS;690254;246;18iv
10306958;RAGN-SELLS AS;689397;268;18iv
90004059;KURESSAARE HAIGLA SIHTASUTUS;688643;421;18ii
77000335;JÄRVA VALLAVALITSUS;687838;136;18iii
70004809;RIIGIKANTSELEI;687791;218;18iv
90011065;TEATER VANEMUINE SIHTASUTUS;687489;479;18ii
10709596;BENU APTEEK EESTI OÜ;686572;343;18iv
10952552;TLG HOTELL OÜ;685576;502;18i
70008658;KESKKONNAAMET;685082;347;18ii
77000393;VÕRU VALLAVALITSUS;683432;162;18iv
10069659;ELISA TELETEENUSED AS;682122;211;18iii
11206785;TALLINN AIRPORT GH AS;681517;293;18iv
10664333;UPM-KYMMENE OTEPÄÄ AS;681473;259;18iii
70004502;KAITSEMINISTEERIUM;681181;4931;18iii
10098649;EESTI AGA AS;680762;220;18iv
10709596;BENU APTEEK EESTI OÜ;678966;343;18i
77000393;VÕRU VALLAVALITSUS;678905;154;18iii
10098649;EESTI AGA AS;678780;216;18iii
77000393;VÕRU VALLAVALITSUS;677614;140;18ii
11269030;OPTIMERA ESTONIA AS;676209;388;18i
70001231;KESKKONNAMINISTEERIUM;675889;200;18ii
77000335;JÄRVA VALLAVALITSUS;675843;136;18ii
10103586;PÕLDMA KAUBANDUSE AS;675732;377;18iii
10722319;AS CONNECTO EESTI;675718;283;18iv
11358584;GENIUS SPORTS SERVICES EESTI OÜ;675631;304;18iii
77000246;PAIDE LINNAVALITSUS;675412;85;18ii
11211390;ARVATO SERVICES ESTONIA OÜ;673613;248;18iv
10199349;RAMIRENT BALTIC AS;673277;224;18iv
11358584;GENIUS SPORTS SERVICES EESTI OÜ;673067;317;18iv
10156772;KUNDA NORDIC TSEMENT AS;672116;194;18iii
70008658;KESKKONNAAMET;671968;355;18iii
77000275;KAMBJA VALLAVALITSUS;671630;76;18iii
10331577;PROEKSPERT AS;669475;168;18ii
10657801;BALTIC WORKBOATS AS;668112;197;18iv
90004059;KURESSAARE HAIGLA SIHTASUTUS;667313;416;18i
10189553;TRANSIIDIKESKUSE AS;666283;267;18ii
12011919;PHARMA GROUP OÜ;665798;326;18i
70002791;VILJANDI MAAVALITSUS;664208;0;18i
10237832;COOP PANK AKTSIASELTS;663839;181;18i
70004502;KAITSEMINISTEERIUM;663809;4809;18i
11207974;WESTAQUA-INVEST OÜ;663316;432;18iii
10098649;EESTI AGA AS;662799;215;18ii
77000275;KAMBJA VALLAVALITSUS;661295;80;18ii
10306958;RAGN-SELLS AS;661258;277;18i
70004809;RIIGIKANTSELEI;660692;227;18ii
11011627;HANZA MECHANICS NARVA AS;660132;329;18ii
77000341;TORI VALLAVALITSUS;660037;107;18iv
11269030;OPTIMERA ESTONIA AS;659355;390;18iii
12011919;PHARMA GROUP OÜ;658469;323;18iii
10294959;NPM SILMET OÜ;658312;433;18iv
10238872;SCANIA EESTI AS;658079;153;18i
90011065;TEATER VANEMUINE SIHTASUTUS;657939;449;18iii
70004809;RIIGIKANTSELEI;657686;239;18iii
12011919;PHARMA GROUP OÜ;657312;318;18ii
10047497;KONESKO AS;655606;399;18iv
10569340;UNIMED KLIINIKUD OÜ;654490;191;18iii
10068915;P. DUSSMANN EESTI OÜ;654260;641;18ii
75005222;VILJANDI LINNAVALITSUS;654140;162;18ii
10349057;TALOT AS;653897;205;18iii
12102800;KOHILA VINEER OÜ;653708;257;18iii
77000341;TORI VALLAVALITSUS;653706;100;18iii
77000246;PAIDE LINNAVALITSUS;652376;155;18iv
10097532;SMARTEN LOGISTICS AS;651911;364;18iv
11011627;HANZA MECHANICS NARVA AS;651763;319;18i
10238872;SCANIA EESTI AS;651505;154;18iv
12678055;TS LAEVAD OÜ;651448;138;18iii
90011065;TEATER VANEMUINE SIHTASUTUS;651134;473;18iv
10068915;P. DUSSMANN EESTI OÜ;650576;738;18iii
77000341;TORI VALLAVALITSUS;649120;131;18ii
75006486;TARTU VALLAVALITSUS;648302;143;18ii
11070736;OSAÜHING INCHCAPE MOTORS ESTONIA;648257;184;18ii
10270580;BARRUS AS;648194;247;18iii
77000246;PAIDE LINNAVALITSUS;646492;129;18iii
11769005;NEFAB PACKAGING OÜ;646071;234;18iii
11269030;OPTIMERA ESTONIA AS;645935;394;18iv
10097532;SMARTEN LOGISTICS AS;644543;342;18i
75005222;VILJANDI LINNAVALITSUS;643842;148;18iv
70001231;KESKKONNAMINISTEERIUM;643442;203;18iii
10257326;TALLINNA VESI AS;642260;265;18iii
10047497;KONESKO AS;641049;388;18ii
10103586;PÕLDMA KAUBANDUSE AS;641036;375;18i
12011919;PHARMA GROUP OÜ;640585;328;18iv
10000018;AMSERV AUTO AS;640501;203;18iii
10000018;AMSERV AUTO AS;639572;206;18iv
70004502;KAITSEMINISTEERIUM;639387;4847;18ii
12249762;EESTI TEED AS;638484;239;18i
10257326;TALLINNA VESI AS;638078;263;18i
11769005;NEFAB PACKAGING OÜ;634941;254;18i
10722319;AS CONNECTO EESTI;634542;285;18ii
10344640;TALLINNA TEEDE AS;634096;136;18ii
11269030;OPTIMERA ESTONIA AS;633820;392;18ii
11655017;ZEROTURNAROUND AS;633307;60;18i
11206785;TALLINN AIRPORT GH AS;632920;303;18ii
10151355;TULUNDUSÜHISTU TARTU TARBIJATE KOOPERATIIV;631980;478;18i
11387143;KM ELEMENT OÜ;631704;245;18ii
75033477;TAPA VALLAVALITSUS;631313;131;18i
10368215;KARELL KIIRABI AS;630626;305;18iii
60546481;LUMINOR GROUP AB;630477;1;18iv
90011065;TEATER VANEMUINE SIHTASUTUS;629833;484;18i
10952552;TLG HOTELL OÜ;629684;563;18ii
10188743;SECURITAS EESTI AS;629218;491;18i
11387143;KM ELEMENT OÜ;629190;238;18iii
10097532;SMARTEN LOGISTICS AS;629051;375;18ii
11207974;WESTAQUA-INVEST OÜ;628540;428;18iv
10272337;KROONPRESS AS;628495;267;18iii
70003098;MAA-AMET;628007;283;18iii
10068915;P. DUSSMANN EESTI OÜ;627406;751;18i
10085032;GOBUS AS;627393;384;18iii
10677712;SPORTLAND EESTI AS;627312;405;18iii
10188743;SECURITAS EESTI AS;626467;492;18iii
11387143;KM ELEMENT OÜ;626211;237;18iv
10068915;P. DUSSMANN EESTI OÜ;624852;768;18iv
10508414;ANTISTA AS;623018;241;18i
11119230;HARJU ELEKTER ELEKTROTEHNIKA AS;622529;242;18iv
10167362;KRIMELTE OÜ;622471;197;18iii
10103586;PÕLDMA KAUBANDUSE AS;622385;385;18iv
12102800;KOHILA VINEER OÜ;621499;260;18iv
12920728;NORDIC CREW MANAGEMENT OÜ;621479;149;18i
10569340;UNIMED KLIINIKUD OÜ;620278;200;18ii
14282597;AS PENSIONIKESKUS;619181;9;18iii
90008465;TALLINNA HAMBAPOLIKLIINIK SIHTASUTUS;619110;191;18iii
12771257;TWILIO ESTONIA OÜ;618986;86;18iii
10586461;VERSOBANK AS (LIKVIDEERIMISEL);618118;39;18ii
70007742;IDA-VIRUMAA KUTSEHARIDUSKESKUS;617885;303;18iii
10047497;KONESKO AS;617781;366;18i
77000234;PÕHJA-PÄRNUMAA VALLAVALITSUS;617742;74;18ii
10151355;TULUNDUSÜHISTU TARTU TARBIJATE KOOPERATIIV;616708;477;18iii
77000424;HIIUMAA VALLAVALITSUS;616579;73;18iii
10569340;UNIMED KLIINIKUD OÜ;616413;191;18iv
75038598;LÄÄNE-NIGULA VALLAVALITSUS;616010;192;18iv
12920728;NORDIC CREW MANAGEMENT OÜ;615172;157;18ii
10333719;BALTI SPOON OÜ;614493;274;18iii
10664333;UPM-KYMMENE OTEPÄÄ AS;614481;256;18ii
10349057;AS FRAMM;614181;208;18iv
11052968;MANPOWER OÜ;613451;334;18iii
11207974;WESTAQUA-INVEST OÜ;613055;382;18i
11333035;HESEPEOPLE OÜ;613043;533;18iii
10089357;GLAMOX HE AS;611558;184;18i
10167362;KRIMELTE OÜ;610850;196;18iv
77000507;VALGA VALLAVALITSUS;610202;199;18i
11053264;DERIVCO ESTONIA OÜ;609387;131;18iv
10199349;RAMIRENT BALTIC AS;608692;218;18ii
10657801;BALTIC WORKBOATS AS;608580;202;18ii
11070736;OSAÜHING INCHCAPE MOTORS ESTONIA;607880;182;18i
10677712;SPORTLAND EESTI AS;607749;426;18i
10188743;SECURITAS EESTI AS;607735;494;18iv
11769005;NEFAB PACKAGING OÜ;607027;235;18iv
10885324;ICEFIRE OÜ;604915;102;18i
12020367;HURTIGRUTEN ESTONIA OÜ;604748;204;18iii
10258395;HILDING ANDERS BALTIC AS;604606;273;18iii
10103586;PÕLDMA KAUBANDUSE AS;603990;418;18ii
10005122;STOCKMANN AS;603909;400;18iii
77000234;PÕHJA-PÄRNUMAA VALLAVALITSUS;603808;69;18iv
10156772;KUNDA NORDIC TSEMENT AS;603429;176;18iv
10344640;TALLINNA TEEDE AS;603362;136;18iii
70007742;IDA-VIRUMAA KUTSEHARIDUSKESKUS;603208;310;18i
12673365;STARSHIP TECHNOLOGIES OÜ;602373;120;18iv
10270580;BARRUS AS;601116;247;18iv
10000018;AMSERV AUTO AS;600613;202;18ii
77000424;HIIUMAA VALLAVALITSUS;599808;76;18ii
10677712;SPORTLAND EESTI AS;599701;382;18iv
10368215;KARELL KIIRABI AS;599549;309;18iv
12673365;STARSHIP TECHNOLOGIES OÜ;598355;130;18iii
10257326;TALLINNA VESI AS;596874;268;18iv
10380914;KARL STORZ VIDEO ENDOSCOPY ESTONIA OÜ;596072;197;18ii
10190065;PREMIER RESTAURANTS EESTI OÜ;596070;555;18iii
