Registrikood;Nimi;Tööjõumaksud Ja Maksed;Tootajaid;YearQ
10312960;TALLINNA LINNATRANSPORDI AS;3604099;1830;18iii
10005211;ERICSSON EESTI AS;3578391;1605;18iv
10005211;ERICSSON EESTI AS;3574484;1505;18i
10022095;G4S EESTI AS;3570559;2288;18iv
70000734;MAAELUMINISTEERIUM;3570211;264;18i
10005211;ERICSSON EESTI AS;3563937;1513;18ii
10022095;G4S EESTI AS;3558087;2282;18i
70000898;JUSTIITSMINISTEERIUM;3537253;193;18i
10022095;G4S EESTI AS;3525228;2451;18ii
10095355;ABB AS;3525228;1319;18iv
10312960;TALLINNA LINNATRANSPORDI AS;3512409;1824;18i
70000734;MAAELUMINISTEERIUM;3478555;261;18iii
10421629;EESTI ENERGIA AS;3464117;884;18iii
11315936;LUMINOR BANK AS;3447836;614;18iv
10312960;TALLINNA LINNATRANSPORDI AS;3421871;1822;18ii
10312960;TALLINNA LINNATRANSPORDI AS;3399713;1835;18iv
10822269;LÄÄNE-TALLINNA KESKHAIGLA AS;3394583;1804;18iv
10004252;SEB PANK AS;3348794;992;18iii
10004252;SEB PANK AS;3339419;995;18iv
11056239;SKYPE TECHNOLOGIES OÜ;3286076;254;18iv
10328799;EESTI POST AS;3264603;2193;18ii
10421629;EESTI ENERGIA AS;3248768;891;18i
10822269;LÄÄNE-TALLINNA KESKHAIGLA AS;3242645;1745;18ii
10736593;PLAYTECH ESTONIA OÜ;3235061;528;18i
10736593;PLAYTECH ESTONIA OÜ;3230854;536;18ii
10004252;SEB PANK AS;3225507;1014;18ii
74001728;HARJU MAAKOHUS;3221817;253;18iv
70000898;JUSTIITSMINISTEERIUM;3217835;192;18iv
70004459;RIIGIMETSA MAJANDAMISE KESKUS (RMK);3191847;1025;18ii
10421629;EESTI ENERGIA AS;3173210;883;18iv
70000734;MAAELUMINISTEERIUM;3168792;274;18ii
70000898;JUSTIITSMINISTEERIUM;3123723;189;18iii
70000898;JUSTIITSMINISTEERIUM;3071869;194;18ii
10822269;LÄÄNE-TALLINNA KESKHAIGLA AS;3067911;1764;18i
10263574;RIMI EESTI FOOD AS;3058756;2526;18iii
10328799;EESTI POST AS;3043682;2174;18iv
